 Total Nb of available Diagnostics: ndiagt=   207
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   195 |UTRAC01 |350 |   196 |UUr     MR|mol/m^3.m/s     |Zonal Mass-Weighted Transp of ptracer
   196 |VTRAC01 |350 |   195 |VVr     MR|mol/m^3.m/s     |Merid Mass-Weighted Transp of ptracer
   197 |WTRAC01 |350 |       |WM      MR|mol/m^3.m/s     |Vert  Mass-Weighted Transp of ptracer
   198 |ForcTr01|350 |       |SMR     MR|mol/m^3/s       |ptracer forcing tendency
   199 |AB_gTr01|350 |       |SMR     MR|mol/m^3/s       |ptracer tendency from Adams-Bashforth
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |ADVrTr01|350 |       |WM      LR|mol/m^3.m^3/s   |Vertical   Advective Flux of ptracer
   201 |ADVxTr01|350 |   202 |UU      MR|mol/m^3.m^3/s   |Zonal      Advective Flux of ptracer
   202 |ADVyTr01|350 |   201 |VV      MR|mol/m^3.m^3/s   |Meridional Advective Flux of ptracer
   203 |DFrETr01|350 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of ptracer (Explicit part)
   204 |DFxETr01|350 |   205 |UU      MR|mol/m^3.m^3/s   |Zonal      Diffusive Flux of ptracer
   205 |DFyETr01|350 |   204 |VV      MR|mol/m^3.m^3/s   |Meridional Diffusive Flux of ptracer
   206 |DFrITr01|350 |       |WM      LR|mol/m^3.m^3/s   |Vertical Diffusive Flux of ptracer (Implicit part)
   207 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
